Catégorie,Question,Réponse,Mots-clés
Stratégie Communication,"Quelle est la stratégie de communication ?","CitizenLab déploie une stratégie de communication sur l'engagement citoyen et la co-construction sur Internet et sur les médias classiques, notamment à travers l'organisation de 4 plateaux télé et 10 émissions radios.","stratégie, communication, 4 TV, 10 radios"
Médias,"CitizenLab utilise quels médias ?","CitizenLab Mauritanie utilise Internet (site web, réseaux sociaux) et les médias classiques (4 plateaux télé et 10 émissions radio) pour diffuser ses messages sur la participation citoyenne.","médias, Internet, télé, radio"
Formations,"Quelles formations CitizenLab propose ?","Janvier 2023: Formation sur l'engagement et la participation citoyenne et les campagnes digitales pour renforcer la démocratie. Février 2023: Formation sur la collecte, la production et la vérification de contenus médiatiques.","formations, janvier 2023, février 2023, compétences"
Formation Janvier,"Qu'est-ce que la formation de janvier 2023 ?","Formation sur l'engagement et la participation citoyenne et les campagnes digitales pour renforcer la démocratie, outiller les acteurs engagés pour relever les défis liés à la consolidation de la démocratie dans le pays.","formation, janvier 2023, engagement, campagnes digitales"
Formation Février,"Qu'est-ce que la formation de février 2023 ?","Formation sur la collecte, la production et la vérification de contenus médiatiques, ainsi que sur l'utilisation de la plateforme du projet dédié à la citoyenneté et au renforcement de la démocratie.","formation, février 2023, contenus, vérification"
Actualités,"Quelles sont les dernières actualités ?","Actualités récentes: formation citoyenneté numérique (sept-oct 2025), forum pré-sommet climat Addis-Abeba (sept 2025), articles sur l'indépendance mauritanienne (28 novembre 1960), implication des jeunes, guide de l'électeur.","actualités, 2025, formation, climat, indépendance"
Formation 2025,"Quelle formation en 2025 ?","Du 30 septembre au 4 octobre 2025, CitizenLab Mauritanie, en partenariat avec l'Ambassade du Royaume des Pays-Bas à Dakar, a organisé une session de formation pour 10 jeunes mauritaniens sur la citoyenneté à travers le numérique dans le cadre du projet 'Citoyenneté numérique et engagement civique'.","formation 2025, septembre, octobre, 10 jeunes, Pays-Bas"
Projet Pays-Bas,"Qu'est-ce que le projet avec les Pays-Bas ?","Le projet 'Citoyenneté numérique et engagement civique : Autonomiser la jeunesse' est un partenariat entre CitizenLab Mauritanie et l'Ambassade du Royaume des Pays-Bas à Dakar pour former les jeunes mauritaniens.","projet, Pays-Bas, partenariat, citoyenneté numérique"
Climat,"CitizenLab et le climat ?","CitizenLab Mauritanie a participé au forum pré-sommet du 2ème Sommet africain sur le climat à Addis-Abeba (6-7 septembre 2025), où médias, décideurs et société civile se sont rencontrés pour réfléchir au rôle des médias dans le triptyque climat, paix et sécurité.","climat, Addis-Abeba, septembre 2025, médias, sommet"
Sommet Climat,"Qu'est-ce que le sommet climat ?","Le forum pré-sommet du 2ème Sommet africain sur le climat s'est tenu à Addis-Abeba les 6-7 septembre 2025, organisé par le Département des Affaires Politiques, de la Paix et de la Sécurité de l'Union Africaine, réunissant médias et société civile.","sommet, climat, septembre 2025, Union Africaine"
Indépendance,"Quelle date d'indépendance de la Mauritanie ?","La Mauritanie est devenue indépendante le 28 novembre 1960. CitizenLab a publié des contenus sur cette date fondatrice, symbole de liberté et de souveraineté, dont la mémoire reste contrastée entre célébration nationale et souvenirs douloureux.","indépendance, 28 novembre 1960, histoire, commémoration"
65 Ans,"Que veut la jeunesse mauritanienne ?","Article CitizenLab: 65 ans après l'indépendance, la jeunesse mauritanienne, entre espoir et détermination, réclame plus qu'un héritage - elle veut des opportunités, une liberté réelle et un avenir à construire.","jeunesse, 65 ans, opportunités, liberté, avenir"
Walfadjiri,"Qu'est-ce que le groupe Walfadjiri ?","Walfadjiri est un groupe musical mauritanien qui allie engagement et musique. CitizenLab a produit une vidéo (réalisée par Léna Dièye) mettant en lumière ce groupe qui utilise la musique comme outil d'engagement citoyen.","Walfadjiri, musique, engagement, vidéo, Léna Dièye"
Productions,"Quelles productions CitizenLab réalise ?","CitizenLab Mauritanie produit: spots radio, spots TV (dont en langue Poulaar), vidéos sur l'implication des jeunes, interviews, contenus sur la participation citoyenne, guide de l'électeur.","productions, spots, vidéos, contenus, médias"
Spot Radio,"Qu'est-ce que le spot radio ?","CitizenLab Mauritanie a produit un spot radio réalisé par l'équipe pour sensibiliser à la participation citoyenne et promouvoir les activités de l'organisation.","spot radio, production, sensibilisation"
Spot TV Poulaar,"Qu'est-ce que le spot TV Poulaar ?","CitizenLab a réalisé un spot TV en langue Poulaar sur le Guide de l'électeur mauritanien, garantissant l'accessibilité de l'information électorale aux communautés parlant cette langue.","spot TV, Poulaar, guide électeur, langue locale"
Guide Électeur,"Qu'est-ce que le guide de l'électeur ?","CitizenLab Mauritanie a développé un guide de l'électeur mauritanien, diffusé notamment via un spot TV en Poulaar, pour informer et éduquer les citoyens sur le processus électoral.","guide, électeur, éducation, élections"
Implication Jeunes,"Qu'est-ce que la vidéo sur l'implication des jeunes ?","CitizenLab a produit une vidéo réalisée par Djiéfoulbe Ba sur l'implication des jeunes dans la vie politique mauritanienne, encourageant leur participation active à la démocratie.","vidéo, jeunes, politique, Djiéfoulbe Ba"
Civic Tech,"Qu'est-ce que la Civic Tech ?","La Civic Tech désigne les technologies et les démarches qui favorisent et renforcent le rôle joué par les citoyens dans la consolidation des débats publics. Elles sont souvent utilisées par les jeunes pour s'engager politiquement et participer à la vie de leur pays.","Civic Tech, technologie, débats publics"
Mobilisations,"Comment les Civic Tech permettent les mobilisations ?","Les Civic Tech ont permis des mobilisations importantes en Afrique en donnant une voix aux citoyens et en permettant des échanges d'informations en temps réel. Elles ont notamment été utilisées lors des campagnes électorales et pour organiser des manifestations.","mobilisations, Civic Tech, campagnes, manifestations"
Valeurs,"Quelles sont les valeurs de CitizenLab ?","Les valeurs fondamentales sont: la participation citoyenne, la démocratie participative, l'engagement citoyen, la co-construction, la transparence, l'inclusion, la diversité, le dialogue, la responsabilisation.","valeurs, démocratie, participation, transparence, inclusion"
Droits,"Quels droits CitizenLab défend ?","CitizenLab défend: les droits et libertés fondamentaux (vie, liberté de pensée, d'expression, de religion), l'égalité devant la loi, la participation politique (vote, candidature, pétition, manifestation), les droits humains.","droits, libertés, égalité, participation politique"
Citoyenneté,"C'est quoi la citoyenneté selon CitizenLab ?","La citoyenneté comprend: les droits et libertés, la participation politique, l'engagement civique, l'éducation civique, la responsabilité citoyenne, le respect de la diversité, le dialogue et la délibération, la responsabilisation des dirigeants, la participation économique.","citoyenneté, droits, participation, responsabilité"
Engagement,"Qu'est-ce que l'engagement civique ?","L'engagement civique inclut les actions pour améliorer la communauté: bénévolat, service communautaire, participation aux groupes de quartier, prise de responsabilité pour améliorer la qualité de vie dans son environnement.","engagement, bénévolat, communauté, actions"
Éducation Civique,"Pourquoi l'éducation civique est importante ?","L'éducation civique est essentielle car elle donne aux citoyens les connaissances, les compétences et les valeurs nécessaires pour participer efficacement à la vie politique et civique.","éducation civique, formation, compétences"
Responsabilités,"Quelles responsabilités ont les citoyens ?","Les citoyens ont des responsabilités: respecter les lois, voter, payer des impôts, respecter les droits des autres, être tolérants, protéger l'environnement, participer à la vie communautaire.","responsabilités, devoirs, citoyens"
Diversité,"Comment CitizenLab aborde la diversité ?","La diversité est une réalité de la société mauritanienne. CitizenLab promeut le respect des différences culturelles, religieuses et ethniques, ainsi que l'inclusion et l'égalité, notamment via l'application mobile en 4 langues locales.","diversité, inclusion, égalité, respect, langues"
Dialogue,"Pourquoi le dialogue est important ?","Le dialogue et la délibération sont essentiels car ils permettent aux citoyens de discuter de questions importantes, partager des opinions et trouver des solutions ensemble de manière constructive.","dialogue, délibération, discussion, solutions"
Responsabilisation,"Qu'est-ce que la responsabilisation ?","La responsabilisation implique que les gouvernements et dirigeants soient responsables de leurs actions, rendent des comptes à la population et respectent les droits des citoyens.","responsabilisation, redevabilité, gouvernants"
Économie,"C'est quoi la participation économique ?","La participation à la vie économique implique la participation à l'économie, la compréhension de son fonctionnement et de ses impacts, ainsi que la promotion de l'équité économique.","économie, participation économique, équité"
Impact,"Quel est l'impact de CitizenLab Mauritanie ?","L'impact inclut: 1 application mobile inclusive, 4 langues locales, 17 jeunes engagés formés, 1,73 million d'internautes touchés en Mauritanie, création d'un réseau citoyen.","impact, 1 app, 4 langues, 17 jeunes, 1.73M internautes"
Internautes,"Combien d'internautes en Mauritanie ?","Il y a 1,73 million d'internautes en Mauritanie que CitizenLab vise à toucher avec ses contenus et initiatives sur la participation citoyenne.","internautes, 1.73M, Mauritanie, portée"
Application Inclusive,"Pourquoi l'application est inclusive ?","L'application mobile est inclusive car elle est exclusivement audio (accessible aux personnes analphabètes) et disponible en 4 langues locales mauritaniennes, garantissant l'accès à tous.","application, inclusive, audio, 4 langues, accessibilité"
Co-construction,"Qu'est-ce que la co-construction ?","La co-construction est une approche participative où citoyens, société civile et autorités travaillent ensemble pour élaborer des solutions et des politiques publiques. CitizenLab favorise cette approche en Mauritanie.","co-construction, participation, collaboration, élaboration"
Vision Mauritanie,"Quelle vision pour la Mauritanie ?","La vision de CitizenLab est une Mauritanie où la démocratie participative et la gouvernance ouverte sont des réalités, avec des citoyens informés, engagés et participant activement aux décisions publiques.","vision, Mauritanie, démocratie, gouvernance"
Démocratie,"Qu'est-ce que la démocratie participative ?","Pour CitizenLab, la démocratie participative implique que les citoyens ne se contentent pas de voter, mais participent activement à l'élaboration des politiques publiques, aux débats, et aux décisions qui affectent leur vie.","démocratie participative, participation, politiques"
Consolidation,"Comment consolider la démocratie ?","La consolidation passe par: l'éducation civique, la participation active, l'engagement citoyen, la responsabilisation des dirigeants, l'utilisation des technologies civiques, la formation, la sensibilisation, le dialogue.","consolidation, démocratie, éducation, engagement"
Afrique,"CitizenLab a une dimension africaine ?","Oui, CitizenLab s'inscrit dans le réseau panafricain AfricTivistes et promeut des valeurs démocratiques communes tout en abordant les enjeux spécifiques à la Mauritanie.","Afrique, panafricain, réseau, AfricTivistes"
Innovation,"Comment CitizenLab innove ?","CitizenLab innove via: application mobile audio multilingue, Think Tank citoyen, plateforme de contenu participative, base de données accessible, stratégie médias mixte (numérique + classique), formations pratiques.","innovation, application, Think Tank, numérique"
Outils,"Quels outils CitizenLab développe ?","CitizenLab développe: une application mobile en 4 langues, une plateforme web de contenu, une base de données d'études, des spots radio/TV, des vidéos éducatives, des guides (électeur).","outils, application, plateforme, base données, contenus"
Contenus,"Où trouver les contenus de CitizenLab ?","Les contenus sont disponibles sur le site citizenlabmauritanie.org dans les sections: Actualités, Publications, Médiathèque, Interviews, avec des articles, vidéos, podcasts et spots.","contenus, site web, actualités, publications, médiathèque"
Publications,"Qu'est-ce que la section Publications ?","La section Publications contient des études, rapports et analyses sur les questions liées à la démocratie participative en Mauritanie, disponibles et téléchargeables.","publications, études, rapports, téléchargement"
Médiathèque,"Qu'est-ce que la Médiathèque ?","La Médiathèque regroupe les contenus audiovisuels de CitizenLab: vidéos, spots TV, spots radio, podcasts, interviews, documentaires sur la participation citoyenne en Mauritanie.","médiathèque, vidéos, audio, contenus multimédias"
Interviews,"CitizenLab fait des interviews ?","Oui, CitizenLab produit des interviews avec des acteurs de la démocratie, de la société civile, des jeunes engagés, disponibles dans la section 'Les interviews'.","interviews, témoignages, acteurs, société civile"
Initiatives,"Quelles sont les initiatives de CitizenLab ?","Les initiatives incluent: Think Tank citoyen, application mobile multilingue, formations, productions médiatiques, partenariats (Pays-Bas), participation aux sommets internationaux (climat), sensibilisation électorale.","initiatives, Think Tank, formation, médias, partenariats"
Partenaires,"Qui sont les partenaires ?","Les partenaires incluent: AfricTivistes (porteur du projet), Ambassade du Royaume des Pays-Bas à Dakar (projet citoyenneté numérique), et potentiellement d'autres partenaires pour les différentes initiatives.","partenaires, AfricTivistes, Pays-Bas, collaboration"
Défis Mauritanie,"Quels défis en Mauritanie ?","Les défis incluent: déficit d'engagement et d'implication des populations à la vie politique, manque de transparence, faible participation citoyenne, nécessité d'inclusion des communautés linguistiques diverses.","défis, engagement, transparence, participation, inclusion"
Solutions,"Quelles solutions CitizenLab propose ?","CitizenLab propose: formations pratiques, outils numériques accessibles (app multilingue), création de réseau (Think Tank), production de contenus adaptés, stratégie médias mixte, base de données accessible.","solutions, formations, outils, réseau, contenus"
Jeunesse,"Pourquoi cibler les jeunes ?","Les jeunes sont au cœur du projet car ils représentent l'avenir de la démocratie mauritanienne. Leur donner les outils et la formation pour s'engager activement est essentiel pour consolider la démocratie.","jeunesse, jeunes, avenir, formation, engagement"
Audio,"Pourquoi le format audio ?","Le format audio de l'application permet d'atteindre les personnes analphabètes et celles qui n'ont pas accès à l'écrit, garantissant une inclusion maximale dans la sensibilisation à la participation citoyenne.","audio, accessibilité, analphabétisme, inclusion"
Multilinguisme,"Pourquoi 4 langues locales ?","Les 4 langues locales permettent d'atteindre toutes les communautés mauritaniennes dans leurs langues maternelles, favorisant la compréhension et l'appropriation des messages sur la démocratie participative.","4 langues, communautés, compréhension, appropriation"
Transparence,"Comment promouvoir la transparence ?","CitizenLab promeut la transparence via: sensibilisation des citoyens, formation au contrôle citoyen, responsabilisation des dirigeants, partage d'information, encouragement du débat public, production de contenus éducatifs.","transparence, sensibilisation, contrôle, information"
Débat Public,"Comment favoriser le débat public ?","Via la plateforme de contenu du Think Tank, les productions médiatiques (4 plateaux TV, 10 émissions radio), les réseaux sociaux, et en créant des espaces où les citoyens peuvent discuter des enjeux démocratiques.","débat public, plateforme, médias, discussion"
Plateaux TV,"Qu'est-ce que les 4 plateaux TV ?","Dans le cadre de la stratégie de communication, CitizenLab organise 4 plateaux télé pour débattre de l'engagement citoyen et de la co-construction en Mauritanie.","plateaux TV, 4, télévision, débats"
Émissions Radio,"Qu'est-ce que les 10 émissions radio ?","Dans le cadre de la stratégie de communication, CitizenLab diffuse 10 émissions radio pour sensibiliser sur l'engagement citoyen et la démocratie participative en Mauritanie.","émissions radio, 10, radio, sensibilisation"
Médias Classiques,"Pourquoi utiliser les médias classiques ?","Les médias classiques (télé, radio) permettent d'atteindre une large audience en Mauritanie, y compris ceux qui n'ont pas accès à Internet, complétant ainsi la stratégie numérique.","médias classiques, télé, radio, portée, complémentarité"
Internet Mauritanie,"Quel usage d'Internet en Mauritanie ?","Avec 1,73 million d'internautes en Mauritanie, CitizenLab utilise Internet (site web, réseaux sociaux, plateforme de contenu) comme canal important de sensibilisation et d'engagement citoyen.","Internet, 1.73M, usage, sensibilisation"
