Catégorie,Question,Réponse,Mots-clés
Format Hybride,"C'est quoi le format hybride ?","Le format hybride combine des sessions en présentiel (pour l'interaction et la pratique) et en ligne (pour la flexibilité), offrant le meilleur des deux approches.","hybride, présentiel, en ligne, flexibilité"
Places Limitées,"Pourquoi les places sont limitées ?","Pour garantir un accompagnement personnalisé de qualité, un mentorat efficace et une expérience d'apprentissage optimale pour chaque participant.","places limitées, qualité, personnalisation, accompagnement"
Inscription,"Comment s'inscrire ?","Visitez notre site citizenlabsenegal.org, consultez les formations disponibles et cliquez sur 'S'inscrire' ou 'Postuler maintenant' pour la formation qui vous intéresse.","inscription, postuler, site web, procédure"
Compétences,"Quelles compétences acquérir ?","Selon la formation: développement web, civic tech, analyse de données, leadership citoyen, plaidoyer digital, gestion de projets, communication, transparence et redevabilité.","compétences, développement, leadership, données"
Experts,"Qui sont les formateurs ?","Des experts du domaine de la civic tech, du développement, de la participation citoyenne et de l'innovation sociale, avec une expérience pratique et reconnue.","experts, formateurs, expérience, reconnaissance"
Réseau,"Quel réseau créer ?","Vous intégrez un réseau de professionnels engagés, d'innovateurs, de changemakers et de partenaires stratégiques œuvrant pour un Sénégal meilleur.","réseau, professionnels, innovateurs, connections"
Expérience,"Quelle expérience acquérir ?","Une expérience terrain valorisante, des projets concrets dans votre portfolio, des compétences pratiques immédiatement applicables, et un impact mesurable dans la communauté.","expérience, terrain, portfolio, impact"
Certificat,"Qu'est-ce que le certificat ?","Le certificat de bénévolat ou de formation atteste de votre engagement, vos compétences acquises et votre contribution. Il est reconnu et valorise votre parcours professionnel.","certificat, attestation, reconnaissance, valorisation"
Signalement,"Comment fonctionne le signalement ?","Via l'application Observatoire Santé Publique, les citoyens peuvent signaler des problèmes de qualité dans les services de santé. Chaque signalement est suivi et traité pour amélioration.","signalement, application, suivi, traitement"
Données Ouvertes,"Comment accéder aux données ?","Visitez le portail OpenData Sénégal où vous trouverez plus de 200 jeux de données gouvernementales accessibles gratuitement pour consultation et utilisation.","données ouvertes, accès, portail, gratuit"
Municipalités,"CitizenLab travaille avec les municipalités ?","Oui, notre plateforme Budget Participatif Digital a été adoptée par 3 municipalités, et nous collaborons avec la Municipalité de Dakar sur d'autres projets.","municipalités, collaboration, budget, partenariat"
Vote Citoyen,"Comment voter pour un projet ?","Via la plateforme Budget Participatif Digital de votre municipalité, vous pouvez consulter les projets proposés et voter pour ceux qui vous tiennent à cœur.","vote, plateforme, projets, participation"
Proposer Projet,"Comment proposer un projet à ma commune ?","Via la plateforme Budget Participatif Digital, vous pouvez soumettre votre idée de projet pour votre commune. Si elle reçoit assez de votes, elle peut être financée et réalisée.","proposition, projet, commune, soumission"
Impact Mesurable,"Comment mesurer l'impact ?","Par des indicateurs concrets: nombre de jeunes formés (150+), projets réalisés (10), signalements traités (500+), municipalités partenaires (3), données disponibles (200+).","impact, mesure, indicateurs, résultats"
Changement,"Quel changement créer ?","Un Sénégal plus juste, transparent et inclusif où les citoyens participent activement aux décisions, où la technologie résout des problèmes concrets et où chaque voix compte.","changement, Sénégal, participation, technologie"
Actualités Médias,"Où suivre les actualités ?","Sur notre site citizenlabsenegal.org dans la section Actualités et médias, ou suivez-nous sur nos réseaux sociaux pour rester informés de nos initiatives et événements.","actualités, médias, site web, réseaux sociaux"
Podcasts,"CitizenLab produit des podcasts ?","Oui, nous produisons des podcasts disponibles sur notre site dans la section Podcasts pour discuter des enjeux de civic tech et participation citoyenne.","podcasts, production, disponibilité"
Vidéos,"CitizenLab produit des vidéos ?","Oui, nous produisons des vidéos disponibles sur notre site dans la section Vidéos pour documenter nos projets, formations et témoignages.","vidéos, production, documentation"
Ressources,"Quelles ressources disponibles ?","Des ressources de formation, des guides sur la civic tech, des outils pour développeurs, des templates de projets, et du matériel pédagogique accessible sur notre site.","ressources, guides, outils, matériel"
Projets Cours,"Quels projets en cours ?","Consultez la section 'Projets en cours' sur notre site pour découvrir les initiatives actuelles et comment vous pouvez y contribuer.","projets cours, initiatives, contribution"
Réalisations,"Quelles réalisations passées ?","Consultez la section 'Projets réalisés' sur notre site pour voir nos 10 projets accomplis: Budget Participatif, Observatoire Santé, OpenData et autres solutions déployées.","réalisations, projets accomplis, solutions"
FAQ,"Où trouver plus d'informations ?","Consultez notre FAQ sur le site citizenlabsenegal.org pour trouver des réponses à vos questions fréquentes sur nos programmes et activités.","FAQ, informations, questions, réponses"
Vision,"Quelle est la vision de CitizenLab ?","Notre vision: un Sénégal où chaque citoyen a les outils et l'espace pour contribuer à la démocratie, où la technologie sert le bien commun et où la transparence est la norme.","vision, Sénégal, démocratie, technologie"
